district,date,temp_moy,temp_max,humidite,precip_mensuel,cas
Bogo,2017-01-01,26.76,40.36,17.58,0.0,435.0
Bogo,2017-02-01,26.55,39.28,11.62,0.0,343.0
Bogo,2017-03-01,30.58,42.65,11.61,0.0,321.0
Bogo,2017-04-01,34.47,44.3,23.37,1.8,245.0
Bogo,2017-05-01,32.31,43.24,47.01,73.47,177.0
Bogo,2017-06-01,29.28,40.35,62.29,90.3,228.0
Bogo,2017-07-01,27.18,34.87,73.51,193.13,636.0
Bogo,2017-08-01,25.72,32.31,82.19,250.17,1033.0
Bogo,2017-09-01,26.28,34.0,78.56,113.1,1871.0
Bogo,2017-10-01,27.63,37.81,54.77,16.74,1881.0
Bogo,2017-11-01,27.31,39.56,26.09,0.0,749.0
Bogo,2017-12-01,26.13,38.1,21.2,0.0,771.0
Bogo,2018-01-01,22.44,35.23,14.59,0.0,216.0
Bogo,2018-02-01,29.29,41.97,15.98,3.36,175.0
Bogo,2018-03-01,31.34,42.42,12.25,0.0,256.0
Bogo,2018-04-01,33.84,44.44,23.12,5.1,236.0
Bogo,2018-05-01,31.93,43.06,51.06,54.87,139.0
Bogo,2018-06-01,29.94,41.21,58.7,98.4,120.0
Bogo,2018-07-01,27.19,35.24,72.27,230.02,922.0
Bogo,2018-08-01,25.46,31.44,83.08,288.61,1757.0
Bogo,2018-09-01,25.92,32.54,82.17,162.9,1739.0
Bogo,2018-10-01,27.55,37.2,68.93,18.6,2057.0
Bogo,2018-11-01,27.3,38.35,36.44,1.5,1573.0
Bogo,2018-12-01,24.88,37.3,23.18,0.0,1092.0
Bogo,2019-01-01,25.43,38.85,16.32,0.0,263.0
Bogo,2019-02-01,27.45,40.77,14.73,0.28,168.0
Bogo,2019-03-01,32.03,43.91,13.81,0.0,230.0
Bogo,2019-04-01,34.44,44.5,18.18,0.6,261.0
Bogo,2019-05-01,33.35,44.89,43.03,46.81,158.0
Bogo,2019-06-01,29.55,39.84,63.46,205.8,193.0
Bogo,2019-07-01,26.8,35.26,76.44,153.45,627.0
Bogo,2019-08-01,25.41,31.33,82.54,184.45,939.0
Bogo,2019-09-01,26.77,34.83,76.88,87.3,890.0
Bogo,2019-10-01,26.81,35.92,73.34,69.44,1331.0
Bogo,2019-11-01,27.49,38.5,45.28,0.0,1418.0
Bogo,2019-12-01,24.03,36.52,21.33,0.0,1247.0
Bogo,2020-01-01,23.92,37.66,18.22,0.0,747.0
Bogo,2020-02-01,26.67,40.97,15.21,0.0,323.0
Bogo,2020-03-01,31.61,43.24,16.7,0.0,426.0
Bogo,2020-04-01,34.09,44.6,26.43,8.7,363.0
Bogo,2020-05-01,32.73,43.65,45.37,24.18,390.0
Bogo,2020-06-01,32.19,42.34,48.26,37.5,360.0
Bogo,2020-07-01,28.27,38.55,65.62,104.78,582.0
Bogo,2020-08-01,26.33,34.85,75.81,148.18,1978.0
Bogo,2020-09-01,26.13,34.25,78.46,145.5,1290.0
Bogo,2020-10-01,27.13,37.08,62.2,35.65,2490.0
Bogo,2020-11-01,26.96,37.56,37.29,0.0,2208.0
Bogo,2020-12-01,26.57,38.29,24.03,0.0,2175.0
Bogo,2021-01-01,25.98,38.72,17.94,0.0,1776.0
Bogo,2021-02-01,26.44,39.23,14.2,0.0,1737.0
Bogo,2021-03-01,31.89,42.97,19.14,0.62,1057.0
Bogo,2021-04-01,33.36,44.22,20.2,0.9,914.0
Bogo,2021-05-01,34.05,43.53,32.07,11.47,795.0
Bogo,2021-06-01,31.0,41.17,52.25,54.3,592.0
Bogo,2021-07-01,27.55,37.9,69.73,154.07,1300.0
Bogo,2021-08-01,26.62,34.48,75.48,101.99,2874.0
Bogo,2021-09-01,27.55,37.22,71.07,69.3,3114.0
